SAC:SIC:ALT_GEO_FT:POS_LAT_DEG:POS_LONG_DEG:ALT_BARO_FT:TOD:REC_TIME_POSIX:REC_TIME_MS:EMITTER_CATEGORY:DIFFERENTIAL_CORRECTION:GROUND_BIT:SIMULATED_TARGET:TEST_TARGET:FROM_FFT:SELECTED_ALT_CAPABILITY:SPI:LINK_TECHNOLOGY_CDTI:LINK_TECHNOLOGY_MDS:LINK_TECHNOLOGY_UAT:LINK_TECHNOLOGY_VDL:LINK_TECHNOLOGY_OTHER:DESCRIPTOR_ATP:ALT_REPORTING_CAPABILITY_FT:TARGET_ADDR:CAT:LINE_ID:DS_ID:REPORT_TYPE:TOD_CALCULATED:CALLSIGN:GROUNDSPEED_KT:TRACK_ANGLE_DEG:REC_NUM
8:200:252:48,619405192458665:2,359411555154994:252:4033152:1661762709:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:2,73433:283,47:1
8:200:250:48,61945102908233:2,3593943664211205:250:4034432:1661762719:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:0,0411252:285,54:2
8:200:375:48,619565620641495:2,365714090908635:375:4163072:1661763724:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:6,39751:60,400000000000006:3
8:200:342:48,61909579524894:2,366034947274275:342:4163840:1661763730:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:0,358602:73,68:4
8:200:343:48,61907860651507:2,3660292176963167:343:4164608:1661763736:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:0,186437:72,75:5
8:200:343:48,6190785:2,3660292:343:4164864:1661763738:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:0,108:72,8:6
8:200:344:48,6190957:2,3659661:344:4165632:1661763744:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:0,802768:71,9:7
8:200:344:48,619233305119934:2,365714090908635:344:4166400:1661763750:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:3,18811:66,97:8
8:200:340:48,6194853:2,3651984:340:4167424:1661763758:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:3,14593:67,3:9
8:200:290:48,6180415529047:2,3660635951640643:290:4319872:1661764949:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:095XF660:2,4916:107,68:10
8:200:300:48,64494765099479:2,306080643523278:300:7277952:1661788059:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0584099:179,4:11
8:200:299:48,64495338057274:2,306080643523278:299:7278976:1661788067:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0435362:179,39:12
8:200:300:48,644970569306615:2,306063454789404:300:7281536:1661788087:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0905205:179,24:13
8:200:300:48,64520548200289:2,3061837759265194:300:7287168:1661788131:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0648:179,47:14
8:200:295:48,64520548200289:2,3061837759265194:295:7287680:1661788135:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0838305:179,47:15
8:200:294:48,645199752424936:2,3061895055044768:294:7290752:1661788159:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0683052:179,62:16
8:200:340:48,645199752424936:2,3061895055044768:340:7293312:1661788179:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZSJ170:0,0162:181,85:17
